food,pantry,refrigerator,freezer
Canned or dried vegetables,1 year,1-4 days (opened/cooked), 
,,,
"Flour, white",1 year, , 
"Flour, whole or wheat", ,6-8 months,1 year
"Rice, white",2 years, , 
"Rice, brown",6 months, , 
Ready-to-eat cereals,1 year, , 
Uncooked cereals,1 year, , 
Pasta,1 year, , 
Corn meal, ,1 year, 
,,,
"Breads, baked with no preservatives", ,2-3 weeks,2-3 months
"Breads, quick, baked", , ,2 months
"Cake, angel", , ,6-12 months
"Cake, baked, frosted", , ,1 month
"Cake, baked, unfrosted", , ,2-4 months
"Cakes, batter", , ,1 month
"Cakes, fruit", , ,6-12 months
"Cinnamon rolls, partially baked", , ,2 months
"Cookies, baked, homemade", ,2-3 weeks,6-12 months
"Cookies, dough", ,1-2 days,3 months
"Cookies, packaged", ,2 months,12-18 months
Crackers, ,2 months, 
"Doughnuts, unfrosted", , ,2-4 months
"Muffins, baked", , ,6-12 months
"Pies, fruit", ,"2-3 days (baked), 1-2 days (unbaked)","6-8 months (baked), 2-4 months (unbaked)"
"Pies, pumpkin or chiffon", ,2-3 days,1-2 months
"Rolls and bread, unbaked", ,2-3 weeks,1 month
Waffles, , ,1 month
,,,
"Biscuit, brownie, muffin mix",9 months, , 
Cake mixes,6-9 months, , 
Casserole mix,9-12 months, , 
"Cookies, homemade",2-3 weeks, , 
"Cookies, packaged",2 months, , 
Crackers,3 months, , 
Croutons and bread crumbs,6 months,6 months,1 year
"Frosting, canned",3 months, , 
"Frosting, mix",8 months, , 
Hot roll mix,18 months, , 
Pancake mix,6-9 months, , 
"Piecrust, mix",6-9 months, , 
"Potatoes, instant",6-12 months, , 
Rice mixes,6 months, , 
Sauce and gravy mixes,6-12 months, , 
Soup mixes,12 months, , 
Toaster pastries,2-3 months, , 
,,,
Baking powder,18 months, , 
Baking soda,2 years, , 
Chocolate syrup,2 years (unopened),6 months (opened), 
Cocoa mixes,8 months, , 
"Coffee, lighteners (dry)","9 months (unopened), 6 months (opened)", , 
Cornstarch,18 months, , 
Gelatin,18 months, , 
Pectin,1 year, , 
"Salad dressings, bottled",12 months (unopened),1-3 months (opened),Not recommended
"Sugar, brown",18 months, , 
"Sugar, confectioners—",18 months, , 
"Sugar, granulated",2 years, , 
Vinegar,"2 years (unopened), 1 year (opened)", , 
"Cheese, parmesan, grated","10 months (unopened), 2 months (opened)", , 
"Coconut, shredded","12 months (unopened), 6 months (opened)", , 
"Imitation bacon bits, etc.",4 months, , 
"Peas, beans, dried",12 months, , 
Popcorn,2 years, , 
"Whipped topping, dry",12 months, , 
"Yeast, dry",Expiration date on package, , 
"Honey, jams, syrups, molasses",1 year, , 
"Nuts, unshelled",6 months, , 
"Nuts, shelled", ,6 months, 
Peanut butter,6 months (unopened),2 months (opened), 
Chocolate,1 year, , 
Coffee,"1 year (unopened), 2-4 weeks (opened)", , 
"Coffee, instant","6 months (unopened), 2 months (opened)", , 
Pudding mixes,1 year, , 
"Shortening, solid",8 months, , 
Vegetable oils,1-3 months, , 
"Tea, bags or loose",1 year, , 
"Tea, instant",1 year, , 
Soft drinks,3 months, , 
Bouillon products,1 year, , 
Mayonnaise, ,10-12 weeks,Not recommended
,,,
"Catsup, chili sauce","12 months (unopened), 1 month (opened)", , 
"Mustard, prepared yellow (refrigerate","2 years (unopened) for longer storage), 6-8 months (opened)", , 
"Spices, whole",1-2 years, , 
"Spices, ground",6 months, , 
Herbs,6 months, , 
Herb/spice blends,"2 years (unopened), 12 months (opened)", , 
Other extracts,12 months, , 
